date,euro95,diesel,rolling_mean,rolling_std,zscore,is_surge,event_id
2005-01-03,1.112,0.887,,,,False,0
2005-01-10,1.134,0.877,,,,False,0
2005-01-17,1.143,0.876,,,,False,0
2005-01-24,1.086,0.878,,,,False,0
2005-01-31,1.102,0.896,,,,False,0
2005-02-07,1.095,0.878,,,,False,0
2005-02-14,1.101,0.89,,,,False,0
2005-02-21,1.12,0.882,,,,False,0
2005-02-28,1.103,0.925,,,,False,0
2005-03-07,1.114,0.942,,,,False,0
2005-03-14,1.134,0.922,,,,False,0
2005-03-21,1.127,0.934,,,,False,0
2005-04-04,1.169,0.95,,,,False,0
2005-04-11,1.167,0.947,,,,False,0
2005-04-18,1.143,0.934,,,,False,0
2005-04-25,1.221,0.972,,,,False,0
2005-05-02,1.206,0.963,,,,False,0
2005-05-09,1.195,0.952,,,,False,0
2005-05-16,1.194,0.935,,,,False,0
2005-05-23,1.173,0.95,,,,False,0
2005-05-30,1.179,0.96,,,,False,0
2005-06-06,1.2,0.991,,,,False,0
2005-06-13,1.2,1.0,,,,False,0
2005-06-20,1.218,0.998,,,,False,0
2005-06-27,1.202,0.97,,,,False,0
2005-07-04,1.202,0.97,,,,False,0
2005-07-11,1.239,0.984,,,,False,0
2005-07-18,1.268,0.984,,,,False,0
2005-07-25,1.278,0.969,,,,False,0
2005-08-01,1.277,0.975,1.1700666666666668,0.05579576880097608,1.9165133061391284,False,0
2005-08-08,1.29,0.984,1.176,0.05879185962886967,1.9390439547181895,False,0
2005-08-15,1.29,0.984,1.1812,0.0617723294821816,1.7613064119814952,False,0
2005-08-22,1.299,1.0,1.1864,0.06493105096416027,1.7341471965724289,False,0
2005-08-29,1.277,0.988,1.1927666666666668,0.06410588403427668,1.313971948164611,False,0
2005-09-05,1.397,1.028,1.2026000000000001,0.07185934537164547,2.705284872755145,False,0
2005-09-12,1.406,1.087,1.2129666666666667,0.07797412627157899,2.4756075196150347,False,0
2005-09-19,1.272,1.016,1.2186666666666666,0.07572469798591162,0.7043056592085184,False,0
2005-09-26,1.384,1.074,1.2274666666666667,0.07912658271373842,1.9782648000815908,False,0
2005-10-03,1.4,1.092,1.2373666666666665,0.08155915278065928,1.9940537363195836,False,0
2005-10-10,1.351,1.082,1.2452666666666667,0.08067086528448299,1.3106755823241554,False,0
2005-10-17,1.339,1.089,1.2521,0.07959611409679762,1.091761840211446,False,0
2005-10-24,1.303,1.037,1.2579666666666667,0.07648280552012963,0.5888033660255946,False,0
2005-11-07,1.244,1.011,1.2604666666666666,0.07467896040008103,-0.22049940945145727,False,0
2005-11-14,1.237,0.948,1.2628,0.0727259380755285,-0.3547565103004322,False,0
2005-11-21,1.24,0.965,1.2660333333333333,0.06929123113817341,-0.37570891591492106,False,0
